date,close,high,low,volume
2016-01-04,2012.66,2038.2,1989.68,4304880000
2016-01-05,2016.71,2021.94,2004.17,3706620000
2016-01-06,1990.26,2011.71,1979.05,4336660000
2016-01-07,1943.09,1985.32,1938.83,5076590000
2016-01-08,1922.03,1960.4,1918.46,4664940000
2016-01-11,1923.67,1935.65,1901.1,4607290000
2016-01-12,1938.68,1947.38,1914.35,4887260000
2016-01-13,1890.28,1950.33,1886.41,5087030000
2016-01-14,1921.84,1934.47,1878.93,5241110000
2016-01-15,1880.33,1916.68,1857.83,5468460000
2016-01-19,1881.33,1901.44,1864.6,4928350000
2016-01-20,1859.33,1876.18,1812.29,6416070000
2016-01-21,1868.99,1889.85,1848.98,5078810000
2016-01-22,1906.9,1908.85,1877.4,4901760000
2016-01-25,1877.08,1906.28,1875.97,4401380000
2016-01-26,1903.63,1906.73,1878.79,4357940000
2016-01-27,1882.95,1916.99,1872.7,4754040000
2016-01-28,1893.36,1902.96,1873.65,4693010000
2016-01-29,1940.24,1940.24,1894,5497570000
2016-02-01,1939.38,1947.2,1920.3,4322530000
2016-02-02,1903.03,1935.26,1897.29,4463190000
2016-02-03,1912.53,1918.01,1872.23,5172950000
2016-02-04,1915.45,1927.35,1900.52,5193320000
2016-02-05,1880.05,1913.07,1872.65,4929940000
2016-02-08,1853.44,1873.25,1828.46,5636460000
2016-02-09,1852.21,1868.25,1834.94,5183220000
2016-02-10,1851.86,1881.6,1850.32,4471170000
2016-02-11,1829.08,1847,1810.1,5500800000
2016-02-12,1864.78,1864.78,1833.4,4696920000
2016-02-16,1895.58,1895.77,1871.44,4570670000
2016-02-17,1926.82,1930.68,1898.8,5011540000
2016-02-18,1917.83,1930,1915.09,4436490000
2016-02-19,1917.78,1918.78,1902.17,4142850000
2016-02-22,1945.5,1946.7,1924.44,4054710000
2016-02-23,1921.27,1942.38,1919.44,3890650000
2016-02-24,1929.8,1932.08,1891,4317250000
2016-02-25,1951.7,1951.83,1925.41,4118210000
2016-02-26,1948.05,1962.96,1945.78,4348510000
2016-02-29,1932.23,1958.27,1931.81,4588180000
2016-03-01,1978.35,1978.35,1937.09,4819750000
2016-03-02,1986.45,1986.51,1968.8,4666610000
2016-03-03,1993.4,1993.69,1977.37,5081700000
2016-03-04,1999.99,2009.13,1986.77,6049930000
2016-03-07,2001.76,2006.12,1989.38,4968180000
2016-03-08,1979.26,1996.88,1977.43,4641650000
2016-03-09,1989.26,1992.69,1979.84,4038120000
2016-03-10,1989.57,2005.08,1969.25,4376790000
2016-03-11,2022.19,2022.37,1994.71,4078620000
2016-03-14,2019.64,2024.57,2012.05,3487850000
2016-03-15,2015.93,2015.94,2005.23,3560280000
2016-03-16,2027.22,2032.02,2010.04,4057020000
2016-03-17,2040.59,2046.24,2022.16,4530480000
2016-03-18,2049.58,2052.36,2041.16,6503140000
2016-03-21,2051.6,2053.91,2043.14,3376600000
2016-03-22,2049.8,2056.6,2040.57,3418460000
2016-03-23,2036.71,2048.55,2034.86,3639510000
2016-03-24,2035.94,2036.04,2022.49,3407720000
2016-03-28,2037.05,2042.67,2031.96,2809090000
2016-03-29,2055.01,2055.91,2028.31,3822330000
2016-03-30,2063.95,2072.21,2058.27,3590310000
2016-03-31,2059.74,2067.92,2057.46,3715280000
2016-04-01,2072.78,2075.07,2043.98,3749990000
2016-04-04,2066.13,2074.02,2062.57,3485710000
2016-04-05,2045.17,2062.5,2042.56,4154920000
2016-04-06,2066.66,2067.33,2043.09,3750800000
2016-04-07,2041.91,2063.01,2033.8,3801250000
2016-04-08,2047.6,2060.63,2041.69,3359530000
2016-04-11,2041.99,2062.93,2041.88,3567840000
2016-04-12,2061.72,2065.05,2039.74,4239740000
2016-04-13,2082.42,2083.18,2065.92,4191830000
2016-04-14,2082.78,2087.84,2078.13,3765870000
2016-04-15,2080.73,2083.22,2076.31,3701450000
2016-04-18,2094.34,2094.66,2073.65,3316880000
2016-04-19,2100.8,2104.05,2091.68,3896830000
2016-04-20,2102.4,2111.05,2096.32,4184880000
2016-04-21,2091.48,2103.78,2088.52,4175290000
2016-04-22,2091.58,2094.32,2081.2,3790580000
2016-04-25,2087.79,2089.37,2077.52,3319740000
2016-04-26,2091.7,2096.87,2085.8,3557190000
2016-04-27,2095.15,2099.89,2082.31,4100110000
2016-04-28,2075.81,2099.3,2071.62,4309840000
2016-04-29,2065.3,2073.85,2052.28,4704720000
2016-05-02,2081.43,2083.42,2066.11,3841110000
2016-05-03,2063.37,2077.18,2054.89,4173390000
2016-05-04,2051.12,2060.3,2045.55,4058560000
2016-05-05,2050.63,2060.23,2045.77,4008530000
2016-05-06,2057.14,2057.72,2039.45,3796350000
2016-05-09,2058.69,2064.15,2054.31,3788620000
2016-05-10,2084.39,2084.87,2062.63,3600200000
2016-05-11,2064.46,2083.29,2064.46,3821980000
2016-05-12,2064.11,2073.99,2053.13,3782390000
2016-05-13,2046.61,2066.79,2043.13,3579880000
2016-05-16,2066.66,2071.88,2046.53,3501360000
2016-05-17,2047.21,2065.69,2040.82,4108960000
2016-05-18,2047.63,2060.61,2034.49,4101320000
2016-05-19,2040.04,2044.21,2025.91,3846770000
2016-05-20,2052.32,2058.35,2041.88,3507650000
2016-05-23,2048.04,2055.58,2047.26,3055480000
2016-05-24,2076.06,2079.67,2052.65,3627340000
2016-05-25,2090.54,2094.73,2078.93,3859160000
2016-05-26,2090.1,2094.3,2087.08,3230990000
2016-05-27,2099.06,2099.06,2090.06,3079150000
2016-05-31,2096.95,2103.48,2088.66,4514410000
2016-06-01,2099.33,2100.97,2085.1,3525170000
2016-06-02,2105.26,2105.26,2088.59,3632720000
2016-06-03,2099.13,2104.07,2085.36,3627780000
2016-06-06,2109.41,2113.36,2100.83,3442020000
2016-06-07,2112.13,2119.22,2110.18,3534730000
2016-06-08,2119.12,2120.55,2112.71,3562060000
2016-06-09,2115.48,2117.64,2107.73,3290320000
2016-06-10,2096.07,2109.57,2089.96,3515010000
2016-06-13,2079.06,2098.12,2078.46,3392030000
2016-06-14,2075.32,2081.3,2064.1,3759770000
2016-06-15,2071.5,2085.65,2069.8,3544720000
2016-06-16,2077.99,2079.62,2050.37,3628280000
2016-06-17,2071.22,2078.2,2062.84,4952630000
2016-06-20,2083.25,2100.66,2075.58,3467440000
2016-06-21,2088.9,2093.66,2083.02,3232880000
2016-06-22,2085.45,2099.71,2084.36,3168160000
2016-06-23,2113.32,2113.32,2092.8,3297940000
2016-06-24,2037.41,2103.81,2032.57,7597450000
2016-06-27,2000.54,2031.45,1991.68,5431220000
2016-06-28,2036.09,2036.09,2006.67,4385810000
2016-06-29,2070.77,2073.13,2042.69,4241740000
2016-06-30,2098.86,2098.94,2070,4622820000
2016-07-01,2102.95,2108.71,2097.9,3458890000
2016-07-05,2088.55,2095.05,2080.86,3658380000
2016-07-06,2099.73,2100.72,2074.02,3909380000
2016-07-07,2097.9,2109.08,2089.39,3604550000
2016-07-08,2129.9,2131.71,2106.97,3607500000
2016-07-11,2137.16,2143.16,2131.72,3253340000
2016-07-12,2152.14,2155.4,2139.5,4097820000
2016-07-13,2152.43,2156.45,2146.21,3502320000
2016-07-14,2163.75,2168.99,2157.88,3465610000
2016-07-15,2161.74,2169.05,2155.79,3122600000
2016-07-18,2166.89,2168.35,2159.63,3009310000
2016-07-19,2163.78,2164.63,2159.01,2968340000
2016-07-20,2173.02,2175.63,2164.89,3211860000
2016-07-21,2165.17,2174.56,2159.75,3438900000
2016-07-22,2175.03,2175.11,2163.24,3023280000
2016-07-25,2168.48,2173.71,2161.95,3057240000
2016-07-26,2169.18,2173.54,2160.18,3442350000
2016-07-27,2166.58,2174.98,2159.07,3995500000
2016-07-28,2170.06,2172.85,2159.74,3664240000
2016-07-29,2173.6,2177.09,2163.49,4038840000
2016-08-01,2170.84,2178.29,2166.21,3505990000
2016-08-02,2157.03,2170.2,2147.58,3848750000
2016-08-03,2163.79,2163.79,2152.56,3786530000
2016-08-04,2164.25,2168.19,2159.07,3709200000
2016-08-05,2182.87,2182.87,2168.79,3663070000
2016-08-08,2180.89,2185.44,2177.85,3327550000
2016-08-09,2181.74,2187.66,2178.61,3334300000
2016-08-10,2175.49,2183.41,2172,3254950000
2016-08-11,2185.79,2188.45,2177.97,3423160000
2016-08-12,2184.05,2186.28,2179.42,3000660000
2016-08-15,2190.15,2193.81,2186.08,3078530000
2016-08-16,2178.15,2186.24,2178.14,3196400000
2016-08-17,2182.22,2183.08,2168.5,3388910000
2016-08-18,2187.02,2187.03,2180.46,3300570000
2016-08-19,2183.87,2185,2175.13,3084800000
2016-08-22,2182.64,2185.15,2175.96,2777550000
2016-08-23,2186.9,2193.42,2186.8,3041490000
2016-08-24,2175.44,2186.66,2171.25,3148280000
2016-08-25,2172.47,2179,2169.74,2969310000
2016-08-26,2169.04,2187.94,2160.39,3342340000
2016-08-29,2180.38,2183.48,2170.19,2654780000
2016-08-30,2176.12,2182.27,2170.41,3006800000
2016-08-31,2170.95,2173.79,2161.35,3766390000
2016-09-01,2170.86,2173.56,2157.09,3392120000
2016-09-02,2179.98,2184.87,2173.59,3091120000
2016-09-06,2186.48,2186.57,2175.1,3447650000
2016-09-07,2186.16,2187.87,2179.07,3319420000
2016-09-08,2181.3,2184.94,2177.49,3727840000
2016-09-09,2127.81,2169.08,2127.81,4233960000
2016-09-12,2159.04,2163.3,2119.12,4010480000
2016-09-13,2127.02,2150.47,2120.27,4141670000
2016-09-14,2125.77,2141.33,2119.9,3664100000
2016-09-15,2147.26,2151.31,2122.36,3373720000
2016-09-16,2139.16,2146.48,2131.2,5014360000
2016-09-19,2139.12,2153.61,2135.91,3163000000
2016-09-20,2139.76,2150.8,2139.17,3140730000
2016-09-21,2163.12,2165.11,2139.57,3712090000
2016-09-22,2177.18,2179.99,2170.94,3552830000
2016-09-23,2164.69,2173.75,2163.97,3317190000
2016-09-26,2146.1,2158.54,2145.04,3216170000
2016-09-27,2159.93,2161.13,2141.55,3437770000
2016-09-28,2171.37,2172.4,2151.79,3891460000
2016-09-29,2151.13,2172.67,2145.2,4249220000
2016-09-30,2168.27,2175.3,2156.51,4173340000
2016-10-03,2161.2,2164.41,2154.77,3137550000
2016-10-04,2150.49,2165.46,2144.01,3750890000
2016-10-05,2159.73,2163.95,2155.15,3906550000
2016-10-06,2160.77,2162.93,2150.28,3461550000
2016-10-07,2153.74,2165.86,2144.85,3619890000
2016-10-10,2163.66,2169.6,2160.39,2916550000
2016-10-11,2136.73,2161.56,2128.84,3438270000
2016-10-12,2139.18,2145.36,2132.77,2977100000
2016-10-13,2132.55,2138.19,2114.72,3580450000
2016-10-14,2132.98,2149.19,2132.98,3228150000
2016-10-17,2126.5,2135.61,2124.43,2830390000
2016-10-18,2139.6,2144.38,2135.49,3170000000
2016-10-19,2144.29,2148.44,2138.15,3362670000
2016-10-20,2141.34,2147.18,2133.44,3337170000
2016-10-21,2141.16,2142.63,2130.09,3448850000
2016-10-24,2151.33,2154.79,2146.91,3357320000
2016-10-25,2143.16,2151.44,2141.93,3751340000
2016-10-26,2139.43,2145.73,2131.59,3775200000
2016-10-27,2133.04,2147.13,2132.52,4204830000
2016-10-28,2126.41,2140.72,2119.36,4019510000
2016-10-31,2126.15,2133.25,2125.53,3922400000
2016-11-01,2111.72,2131.45,2097.85,4532160000
2016-11-02,2097.94,2111.76,2094,4248580000
2016-11-03,2088.66,2102.56,2085.23,3886740000
2016-11-04,2085.18,2099.07,2083.79,3837860000
2016-11-07,2131.52,2132,2100.59,3736060000
2016-11-08,2139.56,2146.87,2123.56,3916930000
2016-11-09,2163.26,2170.1,2125.35,6264150000
2016-11-10,2167.48,2182.3,2151.17,6451640000
2016-11-11,2164.45,2165.92,2152.49,4988050000
2016-11-14,2164.2,2171.36,2156.08,5367200000
2016-11-15,2180.39,2180.84,2166.38,4543860000
2016-11-16,2176.94,2179.22,2172.2,3830590000
2016-11-17,2187.12,2188.06,2176.65,3809160000
2016-11-18,2181.9,2189.89,2180.38,3572400000
2016-11-21,2198.18,2198.7,2186.43,3607010000
2016-11-22,2202.94,2204.8,2194.51,3957940000
2016-11-23,2204.72,2204.72,2194.51,3418640000
2016-11-25,2213.35,2213.35,2206.27,1584600000
2016-11-28,2201.72,2211.14,2200.36,3505650000
2016-11-29,2204.66,2210.46,2198.15,3706560000
2016-11-30,2198.81,2214.1,2198.81,5533980000
2016-12-01,2191.08,2202.6,2187.44,5063740000
2016-12-02,2191.95,2197.95,2188.37,3779500000
2016-12-05,2204.71,2209.42,2199.97,3895230000
2016-12-06,2212.23,2212.78,2202.21,3855320000
2016-12-07,2241.35,2241.63,2208.93,4501820000
2016-12-08,2246.19,2251.69,2237.57,4200580000
2016-12-09,2259.53,2259.8,2249.23,3884480000
2016-12-12,2256.96,2264.03,2252.37,4034510000
2016-12-13,2271.72,2277.53,2263.32,3857590000
2016-12-14,2253.28,2276.2,2248.44,4406970000
2016-12-15,2262.03,2272.12,2253.77,4168200000
2016-12-16,2258.07,2268.05,2254.24,5920340000
2016-12-19,2262.53,2267.47,2258.21,3248370000
2016-12-20,2270.76,2272.56,2266.14,3298780000
2016-12-21,2265.18,2271.23,2265.15,2852230000
2016-12-22,2260.96,2263.18,2256.08,2876320000
2016-12-23,2263.79,2263.79,2258.84,2020550000
2016-12-27,2268.88,2273.82,2266.15,1987080000
2016-12-28,2249.92,2271.31,2249.11,2392360000
2016-12-29,2249.26,2254.51,2244.56,2336370000
2016-12-30,2238.83,2253.58,2233.62,2670900000
2017-01-03,2257.83,2263.88,2245.13,3770530000
2017-01-04,2270.75,2272.82,2261.6,3764890000
2017-01-05,2269,2271.5,2260.45,3761820000
2017-01-06,2276.98,2282.1,2264.06,3339890000
2017-01-09,2268.9,2275.49,2268.9,3217610000
2017-01-10,2268.9,2279.27,2265.27,3638790000
2017-01-11,2275.32,2275.32,2260.83,3620410000
2017-01-12,2270.44,2271.78,2254.25,3462130000
2017-01-13,2274.64,2278.68,2271.51,3081270000
2017-01-17,2267.89,2272.08,2262.81,3584990000
2017-01-18,2271.89,2272.01,2263.35,3315250000
2017-01-19,2263.69,2274.33,2258.41,3165970000
2017-01-20,2271.31,2276.96,2265.01,3524970000
2017-01-23,2265.2,2271.78,2257.02,3152710000
2017-01-24,2280.07,2284.63,2266.68,3810960000
2017-01-25,2298.37,2299.55,2288.88,3846020000
2017-01-26,2296.68,2300.99,2294.08,3610360000
2017-01-27,2294.69,2299.02,2291.62,3135890000
2017-01-30,2280.9,2286.01,2268.04,3591270000
2017-01-31,2278.87,2279.09,2267.21,4087450000
2017-02-01,2279.55,2289.14,2272.44,3916610000
2017-02-02,2280.85,2283.97,2271.65,3807710000
2017-02-03,2297.42,2298.31,2287.88,3597970000
2017-02-06,2292.56,2296.18,2288.57,3109050000
2017-02-07,2293.08,2299.4,2290.16,3448690000
2017-02-08,2294.67,2295.91,2285.38,3609740000
2017-02-09,2307.87,2311.08,2296.61,3677940000
2017-02-10,2316.1,2319.23,2311.1,3475020000
2017-02-13,2328.25,2331.58,2321.42,3349730000
2017-02-14,2337.58,2337.58,2322.17,3520910000
2017-02-15,2349.25,2351.3,2334.81,3775590000
2017-02-16,2347.22,2351.31,2338.87,3672370000
2017-02-17,2351.16,2351.16,2339.58,3513060000
2017-02-21,2365.38,2366.71,2354.91,3579780000
2017-02-22,2362.82,2365.13,2358.34,3468670000
2017-02-23,2363.81,2368.26,2355.09,4015260000
2017-02-24,2367.34,2367.34,2352.87,3831570000
2017-02-27,2369.75,2371.54,2361.87,3582610000
2017-02-28,2363.64,2367.79,2358.96,4210140000
2017-03-01,2395.96,2400.98,2380.13,4345180000
2017-03-02,2381.92,2394.75,2380.17,3821320000
2017-03-03,2383.12,2383.89,2375.39,3555260000
2017-03-06,2375.31,2378.8,2367.98,3232700000
2017-03-07,2368.39,2375.12,2365.51,3518390000
2017-03-08,2362.98,2373.09,2361.01,3812100000
2017-03-09,2364.87,2369.08,2354.54,3716340000
2017-03-10,2372.6,2376.86,2363.04,3432950000
2017-03-13,2373.47,2374.42,2368.52,3133900000
2017-03-14,2365.45,2368.55,2358.18,3172630000
2017-03-15,2385.26,2390.01,2368.94,3906840000
2017-03-16,2381.38,2388.1,2377.18,3365660000
2017-03-17,2378.25,2385.71,2377.64,5178040000
2017-03-20,2373.47,2379.55,2369.66,3054930000
2017-03-21,2344.02,2381.93,2341.9,4265590000
2017-03-22,2348.45,2351.81,2336.45,3572730000
2017-03-23,2345.96,2358.92,2342.13,3260600000
2017-03-24,2343.98,2356.22,2335.74,2975130000
2017-03-27,2341.59,2344.9,2322.25,3240230000
2017-03-28,2358.57,2363.78,2337.63,3367780000
2017-03-29,2361.13,2363.36,2352.94,3106940000
2017-03-30,2368.06,2370.42,2358.58,3158420000
